angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"[789, 232, 272, 350]",0.0,0.01,0.97,0.0,0.0,0.01
0.0,"[788, 233, 271, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[788, 232, 272, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[789, 227, 265, 350]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[789, 227, 265, 349]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[789, 227, 265, 350]",0.0,0.0,0.98,0.0,0.0,0.01
0.01,"[788, 225, 264, 351]",0.0,0.01,0.98,0.0,0.0,0.01
0.01,"[788, 225, 264, 351]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[800, 232, 257, 339]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[800, 231, 257, 340]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[800, 231, 257, 340]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[798, 231, 256, 340]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[798, 231, 256, 339]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[797, 230, 257, 341]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[797, 230, 257, 341]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[797, 230, 257, 341]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[795, 230, 257, 341]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[795, 230, 257, 341]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[784, 224, 264, 350]",0.0,0.01,0.97,0.0,0.0,0.01
0.0,"[784, 224, 264, 350]",0.0,0.01,0.97,0.0,0.0,0.01
0.0,"[784, 224, 264, 350]",0.0,0.01,0.97,0.0,0.0,0.01
0.0,"[783, 229, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 229, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 230, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 230, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 230, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 230, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 230, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 230, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[782, 230, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[782, 230, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[780, 230, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 231, 267, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 230, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 230, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 230, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 230, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 231, 267, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 232, 269, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 232, 267, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 232, 267, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 233, 269, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 234, 269, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 233, 268, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 233, 268, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 233, 268, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 231, 265, 352]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[777, 232, 265, 351]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[778, 234, 268, 355]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[778, 235, 269, 354]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[779, 234, 268, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 235, 271, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 235, 271, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 235, 271, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 233, 270, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 233, 270, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 232, 267, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 232, 268, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[781, 233, 268, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[781, 233, 268, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[781, 233, 268, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 233, 265, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 233, 265, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[781, 233, 268, 350]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[783, 234, 266, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[783, 234, 266, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 235, 264, 348]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 234, 267, 349]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[784, 234, 267, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 232, 266, 351]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[782, 232, 266, 351]",0.0,0.0,0.98,0.01,0.0,0.0
